date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:45	2683/2683	---MCZ	404	error ('Not%20Found')	text/html	etag:1621305809-ssl-df	https://www.display.care/robots.txt		(from )
15:28:45	20611/20611	---MCZ	200	added ('OK')	text/html	etag:%22a66ca579af285a145cc619d666bb2cc5-ssl-df%22	https://www.display.care/works/	D:/GitHub/Syncored1/www.display.care/works/index.html	(from )
15:28:46	48593/48593	---M-Z	200	added ('OK')	text/css	etag:%22d885af1f46d73a034dade222911f4fbe-ssl-df%22	https://www.display.care/css/style.css?v=1654243514969	D:/GitHub/Syncored1/www.display.care/css/style4ddf.css	(from https://www.display.care/works/)
15:28:46	343356/343356	---MCZ	200	added ('OK')	application/javascript	etag:%226e49c5ba07a85d91c1aa211b27cf47ce-ssl-df%22	https://www.display.care/js/main.js?v=1654243514969	D:/GitHub/Syncored1/www.display.care/js/main4ddf.js	(from https://www.display.care/works/)
15:28:46	7615/7615	---M--	200	added ('OK')	image/png	etag:%223cf78717365e87987d69daf7f3b43efd-ssl%22	https://www.display.care/static/meta/apple-touch-icon.png	D:/GitHub/Syncored1/www.display.care/static/meta/apple-touch-icon.png	(from https://www.display.care/works/)
15:28:47	852/852	---M--	200	added ('OK')	image/png	etag:%2224b1508d3cd7512efc1e47b445bbb9f2-ssl%22	https://www.display.care/static/meta/favicon-32x32.png	D:/GitHub/Syncored1/www.display.care/static/meta/favicon-32x32.png	(from https://www.display.care/works/)
15:28:47	420/420	---M--	200	added ('OK')	image/png	etag:%22ef1520c64b88b583c9cdcc4709bc5fda-ssl%22	https://www.display.care/static/meta/favicon-16x16.png	D:/GitHub/Syncored1/www.display.care/static/meta/favicon-16x16.png	(from https://www.display.care/works/)
15:28:48	19788/19788	---M-Z	200	added ('OK')	text/html	etag:%224cb04bface1ab13a9270c61ca968c67a-ssl-df%22	https://www.display.care/works/spring-flats/	D:/GitHub/Syncored1/www.display.care/works/spring-flats/index.html	(from https://www.display.care/works/)
15:28:48	20190/20190	---M-Z	200	added ('OK')	text/html	etag:%22873cde1bcca1698d438603fdf15eb268-ssl-df%22	https://www.display.care/works/sda-i-saint/	D:/GitHub/Syncored1/www.display.care/works/sda-i-saint/index.html	(from https://www.display.care/works/)
15:28:48	20031/20031	---MCZ	200	added ('OK')	text/html	etag:%22ce9b0b7267a4542d1edf2ae8e386f414-ssl-df%22	https://www.display.care/works/pulse-assist/	D:/GitHub/Syncored1/www.display.care/works/pulse-assist/index.html	(from https://www.display.care/works/)
15:28:48	642864/642864	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc920ab2334bdadc0f1592f32f648eac%22	https://acsbapp.com/apps/app/dist/js/app.js	D:/GitHub/Syncored1/acsbapp.com/apps/app/dist/js/app.js	(from https://www.display.care/works/)
15:28:49	48593/48593	---MCZ	200	added ('OK')	text/css	etag:%22d885af1f46d73a034dade222911f4fbe-ssl-df%22	https://www.display.care/css/style.css?v=1654243514968	D:/GitHub/Syncored1/www.display.care/css/style4f06.css	(from https://www.display.care/works/pulse-assist/)
15:28:49	343356/343356	---MCZ	200	added ('OK')	application/javascript	etag:%226e49c5ba07a85d91c1aa211b27cf47ce-ssl-df%22	https://www.display.care/js/main.js?v=1654243514968	D:/GitHub/Syncored1/www.display.care/js/main4f06.js	(from https://www.display.care/works/pulse-assist/)
